,Date,bert_scores,Open,High,Low,Close,Adj Close,Volume,windowSize_2,windowSize_3,week_1,week_2
935,2017-05-03,0.0,9344.700195,9346.299805,9298.400391,9311.950195,9311.950195,151600.0,0.06666666666666668,-0.06666666666666668,0.04175170068027211,0.05867971314399888
934,2017-05-04,0.13333333333333333,9360.950195,9365.650391,9323.25,9359.900391,9359.900391,269600.0,-0.1,-0.0041666666666666605,0.07471873364730508,0.046774951239236966
933,2017-05-05,-0.3333333333333333,9374.549805,9377.099609,9272.0,9285.299805,9285.299805,231900.0,-0.07291666666666666,-0.015277777777777769,0.08424254317111461,0.03725114171542745
932,2017-05-08,0.1875,9311.450195,9338.700195,9297.950195,9314.049805,9314.049805,174300.0,0.14375,0.11964285714285712,0.1578356167641882,0.07126474715760432
931,2017-05-09,0.1,9337.349609,9338.950195,9307.700195,9316.849609,9316.849609,132300.0,0.08571428571428573,0.1015873015873016,0.13104990247847392,0.06297393083107371
930,2017-05-10,0.07142857142857142,9339.650391,9414.75,9336.0,9407.299805,9407.299805,152700.0,0.10238095238095238,0.1451770451770452,0.08819275962133108,0.05583107368821656
929,2017-05-11,0.13333333333333333,9448.599609,9450.650391,9411.299805,9422.400391,9422.400391,171100.0,0.18205128205128207,0.18803418803418806,0.0660839160839161,0.06371604585890303
928,2017-05-12,0.2307692307692308,9436.650391,9437.75,9372.549805,9400.900391,9400.900391,154300.0,0.2153846153846154,0.2041958041958042,0.07560772560772562,0.06259559767963131
927,2017-05-15,0.2,9433.549805,9449.25,9423.099609,9445.400391,9445.400391,140800.0,0.19090909090909086,0.1272727272727273,0.01883116883116884,0.05710109218512581
926,2017-05-16,0.18181818181818185,9461.0,9517.200195,9456.349609,9512.25,9512.25,166500.0,0.09090909090909093,-0.006060606060606054,-0.009740259740259731,0.07028790537193898
925,2017-05-17,0.0,9517.599609,9532.599609,9486.099609,9525.75,9525.75,205500.0,-0.1,-0.09444444444444444,-0.015306122448979591,0.09301517809921173
924,2017-05-18,-0.2,9453.200195,9489.099609,9418.099609,9429.450195,9429.450195,193300.0,-0.14166666666666666,-0.027777777777777773,-0.005102040816326529,0.11087232095635458
923,2017-05-19,-0.08333333333333333,9469.900391,9505.75,9390.75,9427.900391,9427.900391,252100.0,0.058333333333333334,-0.01666666666666666,0.023469387755102045,0.1584913685754022
922,2017-05-22,0.2,9480.25,9498.650391,9427.900391,9438.25,9438.25,196800.0,0.016666666666666673,0.011111111111111118,0.061348175633889925,0.18230089238492606
921,2017-05-23,-0.16666666666666666,9445.049805,9448.049805,9370.0,9386.150391,9386.150391,224400.0,-0.08333333333333333,-0.007936507936507936,0.04958346975153698,0.18449869458272825
920,2017-05-24,0.0,9410.900391,9431.900391,9341.650391,9360.549805,9360.549805,211800.0,0.07142857142857142,0.07142857142857142,0.09537101553908277,0.19045107553510915
919,2017-05-25,0.14285714285714285,9384.049805,9523.299805,9379.200195,9509.75,9509.75,289200.0,0.10714285714285714,0.07142857142857142,0.15031607048413773,0.2034380885221221
918,2017-05-26,0.07142857142857142,9507.75,9604.900391,9495.400391,9595.099609,9595.099609,218800.0,0.03571428571428571,0.08441558441558443,0.201336478647403,0.21109114974661192
917,2017-05-29,0.0,9560.049805,9637.75,9547.700195,9604.900391,9604.900391,235000.0,0.09090909090909093,0.09982174688057042,0.2268466827290357,0.19170339464457112
916,2017-05-30,0.18181818181818185,9590.650391,9635.299805,9581.200195,9624.549805,9624.549805,193900.0,0.14973262032085566,0.1511037981626217,0.2935133493957024,0.18376688670806315
915,2017-05-31,0.1176470588235294,9636.549805,9649.599609,9609.25,9621.25,9621.25,414300.0,0.13574660633484162,0.2187028657616893,0.30325360913596205,0.17077987372105016
914,2017-06-01,0.15384615384615385,9603.549805,9634.650391,9589.900391,9616.099609,9616.099609,176100.0,0.2692307692307693,0.3461538461538462,0.31941391941391944,0.17666222666222664
913,2017-06-02,0.38461538461538464,9657.150391,9673.5,9637.450195,9653.5,9653.5,162200.0,0.4423076923076923,0.3782051282051282,0.2855311355311356,0.15036709322423608
912,2017-06-05,0.5,9656.299805,9687.200195,9640.700195,9675.099609,9675.099609,127700.0,0.375,0.4055555555555556,0.2565601065601066,0.1371802800374229
911,2017-06-06,0.25,9704.25,9709.299805,9630.200195,9637.150391,9637.150391,145900.0,0.3583333333333333,0.32222222222222224,0.22084582084582088,0.09636395350681068
910,2017-06-07,0.4666666666666667,9663.950195,9678.549805,9630.549805,9663.900391,9663.900391,160700.0,0.3583333333333333,0.31581196581196586,0.15656010656010658,0.09798733013018728
909,2017-06-08,0.25,9682.400391,9688.700195,9641.5,9647.25,9647.25,155400.0,0.24038461538461545,0.1324786324786325,0.07402042402042401,0.06465399679685394
908,2017-06-09,0.2307692307692308,9638.549805,9676.25,9608.150391,9668.25,9668.25,159000.0,0.07371794871794872,0.1097513597513598,0.03830613830613832,0.07060637774923491
907,2017-06-12,-0.08333333333333333,9646.700195,9647.049805,9598.5,9616.400391,9616.400391,141400.0,0.04924242424242426,0.11616161616161615,0.03391053391053391,0.07060637774923491
906,2017-06-13,0.18181818181818185,9615.549805,9654.150391,9595.400391,9606.900391,9606.900391,129700.0,0.2159090909090909,0.07727272727272727,0.015203050917336643,0.10036828251113963
905,2017-06-14,0.25,9621.549805,9627.400391,9580.450195,9618.150391,9618.150391,181800.0,0.024999999999999998,-0.02037037037037037,0.017800453514739238,0.08738126952412666
904,2017-06-15,-0.2,9617.900391,9621.400391,9560.799805,9578.049805,9578.049805,171100.0,-0.15555555555555556,-0.1037037037037037,-0.028117913832199536,0.09333365047650764
903,2017-06-16,-0.1111111111111111,9595.450195,9615.849609,9565.5,9588.049805,9588.049805,213200.0,-0.05555555555555555,0.029629629629629638,0.03941455370026799,0.13703112946810428
902,2017-06-19,0.0,9626.400391,9673.299805,9614.900391,9657.549805,9657.549805,141700.0,0.1,-0.004761904761904754,0.05528756957328386,0.15092001835699315
901,2017-06-20,0.2,9670.5,9676.5,9643.75,9653.5,9653.5,159500.0,-0.007142857142857131,0.06190476190476193,0.10290661719233148,0.16234858978556455
900,2017-06-21,-0.21428571428571427,9648.099609,9650.450195,9608.599609,9633.599609,9633.599609,144000.0,-0.007142857142857131,-0.028571428571428564,0.10730222158793587,0.15520573264270746
899,2017-06-22,0.2,9642.650391,9698.849609,9617.75,9630.0,9630.0,198800.0,0.0642857142857143,0.13376623376623376,0.18553351410494265,0.176464236044068
898,2017-06-23,-0.07142857142857142,9643.25,9647.650391,9565.299805,9574.950195,9574.950195,175200.0,0.10064935064935064,0.06709956709956709,0.1569620855335141,0.1774846442073333
897,2017-06-27,0.2727272727272727,9594.049805,9615.400391,9473.450195,9511.400391,9511.400391,203300.0,0.13636363636363635,0.202020202020202,0.2147852147852148,0.20044382788080267
896,2017-06-28,0.0,9520.200195,9522.5,9474.349609,9491.25,9491.25,172400.0,0.16666666666666666,0.18803418803418806,0.2346477052359405,0.1962694308492628
895,2017-06-29,0.3333333333333333,9522.950195,9575.799805,9493.799805,9504.099609,9504.099609,259300.0,0.28205128205128205,0.29914529914529914,0.2465524671407024,0.1962694308492628
894,2017-06-30,0.2307692307692308,9478.5,9535.799805,9448.75,9520.900391,9520.900391,179600.0,0.28205128205128205,0.18803418803418806,0.22179056237879766,0.182663988672392
893,2017-07-03,0.3333333333333333,9587.950195,9624.0,9543.549805,9615.0,9615.0,183000.0,0.16666666666666666,0.2222222222222222,0.20310924369747896,0.16618047218887552
892,2017-07-04,0.0,9645.900391,9650.650391,9595.5,9613.299805,9613.299805,144800.0,0.16666666666666666,0.24836601307189546,0.1673949579831933,0.16379951980792315
891,2017-07-05,0.3333333333333333,9619.75,9643.650391,9607.349609,9637.599609,9637.599609,130800.0,0.3725490196078432,0.2761437908496732,0.19800720288115245,0.16929402530242865
890,2017-07-06,0.4117647058823529,9653.599609,9700.700195,9639.950195,9674.549805,9674.549805,147400.0,0.2475490196078431,0.2183660130718954,0.18610244097639053,0.15058654230923138
889,2017-07-07,0.08333333333333333,9670.349609,9684.25,9642.650391,9665.799805,9665.799805,141800.0,0.12166666666666667,0.11444444444444445,0.15789115646258506,0.15688906331763475
888,2017-07-10,0.16,9719.299805,9782.150391,9646.450195,9771.049805,9771.049805,37500.0,0.13,0.11444444444444445,0.1459863945578231,0.1564311878597593
887,2017-07-11,0.1,9797.450195,9830.049805,9778.849609,9786.049805,9786.049805,179700.0,0.09166666666666667,0.13253968253968254,0.1435374149659864,0.13850910993768134
886,2017-07-12,0.08333333333333333,9807.299805,9824.950195,9787.700195,9816.099609,9816.099609,145500.0,0.1488095238095238,0.18253968253968256,0.1292517006802721,0.16383378526235667
885,2017-07-13,0.21428571428571427,9855.799805,9897.25,9853.450195,9891.700195,9891.700195,181300.0,0.23214285714285715,0.2261904761904762,0.16020408163265307,0.15138789781646925
884,2017-07-14,0.25,9913.299805,9913.299805,9845.450195,9886.349609,9886.349609,159600.0,0.23214285714285715,0.15476190476190474,0.14058084772370488,0.1217960610817754
883,2017-07-17,0.21428571428571427,9908.150391,9928.200195,9894.700195,9915.950195,9915.950195,163500.0,0.10714285714285714,0.11904761904761905,0.1150706436420722,0.12434708148993864
882,2017-07-18,0.0,9832.700195,9885.349609,9792.049805,9827.150391,9827.150391,293900.0,0.07142857142857142,0.047619047619047616,0.15588697017268446,0.1161838161838162
881,2017-07-19,0.14285714285714285,9855.950195,9905.049805,9851.650391,9899.599609,9899.599609,200200.0,0.07142857142857142,0.14761904761904762,0.1668759811616954,0.1271728271728272
880,2017-07-20,0.0,9920.200195,9922.549805,9863.450195,9873.299805,9873.299805,161100.0,0.15,0.12564102564102564,0.13348080490937633,0.10982588839731697
879,2017-07-21,0.3,9899.599609,9924.700195,9838.0,9915.25,9915.25,187500.0,0.18846153846153849,0.14945054945054945,0.19841586984444126,0.09554017411160266
878,2017-07-24,0.07692307692307693,9936.799805,9982.049805,9919.599609,9966.400391,9966.400391,174500.0,0.07417582417582418,0.21611721611721613,0.14257171400028545,0.0681592217306503
877,2017-07-25,0.07142857142857142,10010.549805,10011.299805,9949.099609,9964.549805,9964.549805,185500.0,0.2857142857142857,0.2161172161172161,0.10301127443984584,0.08052185909328766
876,2017-07-26,0.5,9983.650391,10025.950195,9965.950195,10020.650391,10020.650391,197600.0,0.28846153846153844,0.162004662004662,0.13362351933780497,0.09922934208648493
875,2017-07-27,0.07692307692307693,10063.25,10114.849609,10005.5,10020.549805,10020.549805,287900.0,-0.006993006993006999,0.14685314685314682,0.07648066219494787,0.0941273012701584
874,2017-07-28,-0.09090909090909093,9996.549805,10026.049805,9944.5,10014.5,10014.5,191600.0,0.18181818181818174,0.09090909090909087,0.08746967318395889,0.1029185100613672
873,2017-07-31,0.4545454545454545,10034.700195,10085.900391,10016.950195,10077.099609,10077.099609,237700.0,0.18181818181818174,0.054545454545454515,0.08617097188525759,0.10226915941201654
872,2017-08-01,-0.09090909090909093,10101.049805,10128.599609,10065.75,10114.650391,10114.650391,184300.0,-0.14545454545454548,-0.0017316017316017507,-0.007335521621235915,0.07629513343799058
871,2017-08-02,-0.2,10136.299805,10137.849609,10054.200195,10081.5,10081.5,161500.0,0.04285714285714285,0.0619047619047619,-0.006253270538984825,0.0756457827886399
870,2017-08-03,0.2857142857142857,10081.150391,10081.150391,9998.25,10013.650391,10013.650391,192700.0,0.19285714285714284,0.17985347985347985,0.05803244374672946,0.11969340183625896
869,2017-08-04,0.1,10008.599609,10075.25,9988.349609,10066.400391,10066.400391,178600.0,0.12692307692307692,0.051282051282051266,0.06483516483516483,0.1310312703169846
868,2017-08-07,0.15384615384615385,10074.799805,10088.099609,10046.349609,10057.400391,10057.400391,137400.0,0.026923076923076925,-0.04871794871794872,0.1117739403453689,0.15635594564165992
867,2017-08-08,-0.1,10068.349609,10083.799805,9947.0,9978.549805,9978.549805,203300.0,-0.15000000000000002,-0.1277777777777778,0.1183673469387755,0.11560502989074414
866,2017-08-09,-0.2,9961.150391,9969.799805,9893.049805,9908.049805,9908.049805,169200.0,-0.14166666666666666,-0.011111111111111108,0.11836734693877553,0.1370336013193156
865,2017-08-10,-0.08333333333333333,9872.849609,9892.650391,9776.200195,9820.25,9820.25,235500.0,0.08333333333333334,0.16666666666666666,0.15992578849721706,0.16780283208854635
864,2017-08-11,0.25,9712.150391,9771.650391,9685.549805,9710.799805,9710.799805,285900.0,0.29166666666666663,0.3373015873015873,0.15754483611626466,0.1826837844694988
863,2017-08-14,0.3333333333333333,9755.75,9818.299805,9752.099609,9794.150391,9794.150391,195600.0,0.3809523809523809,0.3206349206349206,0.1813543599257885,0.15833313511884942
862,2017-08-16,0.42857142857142855,9825.849609,9903.950195,9773.849609,9897.299805,9897.299805,219500.0,0.3142857142857143,0.1761904761904762,0.1972273757988044,0.14751062429633854
861,2017-08-17,0.2,9945.549805,9947.799805,9883.75,9904.150391,9904.150391,197600.0,0.05,0.06363636363636364,0.20093795093795092,0.11040487290487293
860,2017-08-18,-0.1,9865.950195,9865.950195,9783.650391,9837.400391,9837.400391,246300.0,-0.00454545454545454,-0.03636363636363636,0.1128427128427128,0.12908619158619158
859,2017-08-21,0.09090909090909093,9864.25,9884.349609,9740.099609,9754.349609,9754.349609,205300.0,-0.00454545454545454,0.13585858585858587,0.15569985569985567,0.1622030747030747
