,Dates,scores
170,10/27/2020,0.39175000000000004
171,10/26/2020,0.22885454545454545
172,10/25/2020,0.2539833333333333
173,10/24/2020,0.31831666666666664
174,10/23/2020,0.364575
175,10/22/2020,0.42156666666666665
176,10/21/2020,0.28786
177,10/20/2020,0.2451
178,10/19/2020,0.3078090909090909
179,10/18/2020,0.23754
180,10/17/2020,0.27943333333333337
181,10/16/2020,0.2104285714285714
182,10/15/2020,0.23741249999999997
183,10/14/2020,0.24908750000000002
184,10/13/2020,0.20784166666666662
185,10/12/2020,0.21787499999999999
186,10/11/2020,0.10536666666666668
187,10/10/2020,0.4006
188,10/9/2020,0.3517666666666666
189,10/8/2020,0.37104
190,10/7/2020,0.33290999999999993
191,10/6/2020,0.17718333333333333
192,10/5/2020,0.21356666666666663
193,10/4/2020,0.5137
